segmented_commentText,Label
"{ احلام و الله انى احب ك من مل قلبى ♡♥ }
",N
"{ ي تباع وا ب ال عزا } كل هم هم و ال حكوم ات و الله ال شعوب هم ال مساكين من كثر ه ما ن سمع و ما ن رى صر نا غير قادر ين على اتخاد اى موقف و ب سبب ايمان نا ب ال سلم ال مزعوم و الذى هو ب ال اساس ليس سلم انما هو ت قبل ل ل استعباد اطلق علي نا ال عدو امثال هذه ( ال ساقط ه ) و من قبل ها و ال قادم اعظم الله ي جير نا من ضعف نا و قل ه حيل ت نا
",P
"# ال سعودي ه 💚 تاج راس ها هال منافق ه
",P
"# تاج _ راس كم . . .
",N
"# ت صبح وا _ على _ خير ✋ سطل ت نعسسسس 😆
",N
"# رغد ه
",N
"# فدي ت _ كاظم 😍😍😍❤❤❤❤
",N
"# كل نا _ ضد _ مريم _ حسين
",N
"# لا _ ل ل طائفي ه _ لا _ ل ل عنصر ي ه
",N
"# لن _ ت صبح _ كاظم . انتهى
",N
"# مضغوط ين
",N
"# مضغوط ين من ال قيصر #
",N
""" # معلوم ه _ الآن 1 - فندق Arbez ي قع بين ال حدود ال سويسري ه ال فرنسي ه ، زائر ال فندق ي ستيطع ال دخول ال ي ه من سويسر ا و ي خرج من ه ل ي جد نفس ه فى فرنسا 2 - شرك ه ل مبورغ ينى ل ل سيار ات تاسس ت ب سبب ان صاحب شرك ه ف ي رارى اهان صاحب شرك ه ل ل تراكتور ات "" "" جرار ات "" "" ف غضب و اسس شرك ه ل ي نافس ه ! 3 - هل ت علم ان كوريا ال شمالي ه ت عتبر من ال دول ال غير ال عربي ه ال وحيد ه التى لم ت عترف ب وجود اسرائيل 4 - داعش الآن لدي ها مساح ه اكبر من بريطانيا . ال قناه مزال ت فى بداي ت ها . . فقط ضع ال ماوس على اسمى و اضغط اشتراك : ) ""
",N
"# مقهور ين # مضغوط ين ال فنان كاظم ال ساهر تاج راس كم 😍
",N
"# مكهور ين - من - ال بقر ه
",P
"# مكهووووريي ين من كظومى تاج راس كم ال قيصر 😛✌
",N
"# هههههههههههههه ه . انتو و ين و ال قيصر و ين ترحول ه ف د و ه واخر ثنين احب اكل هم انتو منو حت ه ت حجون ماشايف كم قبل
",N
"  ت فوووووو علي كى احلام
",P
"✋🏻ماي مثل ال عراق ين باى شكل من ال اشكال
",N
"✌🏻️مضغوط ين 😂😂😂😂😂😂🌚👂🏻
",N
"❉『 ي اصاحب ال فيديو نزل عن رقى و تواضع ال فنان كاظم عشان ن عمل منشن ل ل حاقد ين و ن نشر ه 』❧
",P
"❤ لطيف ه صريح ه و كلاهما صح واح نا بكي نا ع صدام كمان
",N
"❤❤💋❤❤💖💖💖💕💕💕💕💕💕👍👍👍👍👍👍👍👍👍👍👍👍👍
",N
"👈 ايدايئ ت 👉 احلام تدايئ ت
",N
"👈👑👑👑 كاظم
",N
"👞👞👞👞 هذا ال حذاء على راس حكماء ال خليج ال جبناء
",P
"👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸
",N
"💋💋💋💋💋ان احب احلام
",N
"💕💕💕💕💕❤❤❤❤❤❤❤❤💕💕💕💕💕💕💕❤❤❤❤❤❤💕❤❤❤❤❤💕❤❤❤❤❤💕❤❤❤❤❤💕❤❤❤❤❤💕❤❤❤❤❤💕❤❤❤❤❤❤💕💕💕💕💕💕💕❤❤❤❤❤❤💕❤❤❤❤❤❤💕❤❤❤❤❤❤💕❤❤❤❤❤❤💕❤❤❤❤❤💕❤❤❤❤❤💕❤❤❤❤❤💕❤❤❤❤❤💕❤❤❤❤❤💕❤❤❤❤❤❤💕💕💕💕💕💕❤❤❤❤❤❤💕❤❤❤❤❤❤💕❤❤❤❤❤❤💕
",N
"💚احﻻم معقد ه من اصول ها ال سودان ي ه و ت تهجم على اسياد ها و ين هى و ين شمس ال شموس ه ﻻتقارنو رجل اسم ه احﻻم ب انثى كامل ه مثل ( شمس ال شموس ه ) احﻻم سوى ت جميل و حطى شنب ) 😅ﻻيق و ي كمل رجول ت ك
",P
"😂😂 استغفر الله
",N
"😂😂 انوب مسمى نفس ه سااااااراا انى لو اسمى سار ا انتخر 😂😂😂😂
",N
"😂😂 ي بقى كاظم ال ساهر تاج على راس كم يا فاشل ين و ابقووو احجوو ال قافل ه ت سير و ال كلاب دائم ا ت نبح . دايم ي اقيصر💜
",P
"😂😂😂 ال مصري ين مهزل ه
",P
"😂😂😂 و الله مضغوط ين من ه هذا ي كول نجاح ه لبنان هذاك ي كول ال كويت حبايب هو لو مو صوت ه و اغاني ه ال حل و ه انتو تره لا تقدم ون و لا تاخر ون شى ب حيا ت ه 😒 ي غار ون من ه
",N
""" 😂😂😂😂 لا ال ه ال ا الله شنو هال بلا۽ # ال بغدادي ه "" "" ""
",N
"😂😂😂😂😂 آه يا قلبى ال رجال ي تحول و نساء
",N
"😂😂😂😂😂😂😂
",N
"😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 كل ها مسوي ت ه لبنان و ال كويت و عبد الله رويشد و جورج و . . . . . الخ ال حمدلل ه و ال شكر اذا ي ريد ي شكر شخص ي شكر ن زار الله ي رحم ه و بس
",N
"😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😒😒😒😒 قم ت اﻻدب انتى ي ختى 💩💩💩💩💩
",N
"😂😂😂😂😂😂😂حسبى الله و لا كلم ه متناسق ه مع ال ثااني ه
",N
"😂😂😂😂😂😂😂هه هاى استغفر الله هياط
",N
"😂😂😂😂😂😂استغفر الله وش ذا وجع
",N
"😂😂😂😂😂😂مهزل ه
",P
"😂😂😂😂😂احلى شيء ان ها انسجنت😂
",N
"😂😂😂😂😂البس محترم و ل ه ضحكتنى ههههه ه 😂😂😂😂😂😂😂😂
",N
"😂😂😂😂😂شصار ب ال عالم تف علي ه و على شكلى راح انطي ه رحمي😒
",P
"😂😂😂😂😂 مظغوط ين من ال قيصر
",N
"😂😂😂😂😂و عايش ال دور كمان مصدق انو مر ا
",N
"😂😂😂 مف هم تش منو ال فاضى الى مصورل ها ال كليب
",N
"😂😂شنو هذا يا . . . . . . . .
",N
"😂😂ش ها ال شكال مصدق عمر ه و ين امل ال عوضى و ي ن ان ت ب تموت امل و ين اها ال اشكال و ين 😲😨 مجنون ي حمل شلون ال ياهل ب يطلع
",N
"😂😂ما قتلنى غير هذا الى اخر ال مقطع رقم 1 و ل ك شجاب ك على كاظم ياجماع ه ال خير هذا شسم ه بس اريد اسمع صوت ه ل س ه ما سامع ت ه
",N
"😂😂ههه ه ب سم الله اول ما شف ت ه اتخرع ت
",N
"😂ساعد ت😁شنو😂😂😂😂
",N
"😄😂😂
",N
"😅😅😅😅😅 ال ضاهر ال جماع ه # مظغوط ين من كاظم ال عملاق ال اسطور ه نعال ه ي سو ه ال فيديو كول ه
",N
"😆😆مو عراقي
",N
"😋😋ههههه هن
",N
"😒ال بنت حر ه ب تصرف ات ه انتم شكو بي ه
",N
"😕😕 مريض ه
",P
"😠اخ حساف ه من هدف ها كفوف عمل ها شلون تطاول على ال كويت و على سيد ه عائش ه رضى الله عن ها
",P
"😢 كيف ما ابكى ي لعن حضى هاض اكتر انوت ه من ي
",N
"😤ان ت وحد ه ديڨولاس آمبسيل ستوپيد حقير ه عديم ه ال تربي ه ف اسق ه خامج ه منحل ه منحط ه مبتذل ه رخيص ه اصل ا وجه ك راه مديفورمى خلاص ت قول فات علي ك كامي ون سومى بقر ه اي ديو بغل ه نتى لو تجى عال جزائر نقطع و ك طراف طراف ، جزائر ي ه و افتخر .
",P
"😨😨😨😨😨 هاذ ه من ي ن 😨😨😨😨😨😨ياااا
",N
"😬😬جو اوف خلاص طفش ت ممكن ت عمل ال حلق ه عن ال فنان ناصيف زيت ون
",N
"😮😵😨😮ي💩 شنوو هذه كبرررر حت ه كبرر فرحان ب روح ك انت ه ي ال خنيث ل ان انت ه صدك خنيث و اكبر متستحى و ل له قهر هيج شكول موجود مال ذبح و ل له بدى امووتك😵😟😠🙌🙌👎👎✋😬
",P
"😱😱😱😱اشل ون ت ذكر عائش ه رضى الله عن ها على لسانه ه 😱
",N
"😱😱😱اول ل مقطع دخيل الله هى لادب
",N
"😲😲😲😲😲 افتج ات حق ا افتج ات حسبى الله و نعم ال وكيل
",N
"😲😲😲😲😲😲 شو هاد ي خرب بيت ك كيف عم ي لبس كمان 😳😳😲😲😲😲
",N
"😳 ال حسد الله ي شافي هم من ه كاظم ارقى انسان و اطيب قلب الله ي حمي ه من حساد
",N
"😳 معقول ه هذه عراقي🤔 استغفر الله نوب ت متحول ين جنسين😵 اقل شى ال شسم ه خلى ال ه قيم ه
",N
"😷😷😷 ل عي ت نفس ي
",N
"🙆🙆🙆🙆 كاظم ماصار ل ه يوم ين ي غنى او وووف قوي ه 😂😂 و الله قاهر هم كاظم ايش هذا كل من ي قول احنا طلع نا كاظم
",N
"009647826509977 حمودي
",N
""" 04 : 09 شوفو اشكال اللى جنب ها ا . . هههههههههههههههههههههههه ه واضح ان هم متضايق ين من ها و ي قول ون فى نفس هم "" "" متى ت سكت ال متفلسف ه ذى "" "" XD ""
",N
"1 : 30 مع ا حق ال رجل قال ال حريم هدول شهرو مصر انو مصر بلد ال عهور و ال رقص ات مفروض دى ال اشكال تنشال
",P
"1 : 50 معتبر ه نفس ها خليجي ه ال اخت . . نعم ؟ ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !
",N
"1 : 56 ي عنى يا ابن ال كلب ان ت ال حين ت حسب نفس ك بنت😂 ! ! ! ! ! !
",P
"10 حثال ه ظهر وا ي تكلم ون عن ال قيصر كاظم ال ساهر حثال ه
",P
"10000 $ Naw 🇺🇸✍🏻✍🏻💳💌🇺🇸
",N
""" ١١ : ٣٩ اسمع وا "" "" دا اكيد غير ه على قوز ك و كلام دا ب تاع ال ستات ي لا ي لا "" "" ههههههههههههههههههههههههههههههههههههههههه ه و ربى اللجمت ها مزبوط متت ت ضحكك ك 😂 . . . و بعد ين ت جيك ال ثاني ه اللى اسم ها جنجاه ت قول هذا جنس مباشر و انتى مين تقارنى نفس ك ب فنان ه كبير ه نفس سعاد حسنى ! شفي ها محسستنى ان سعاد حسنى راعي ه حلق ات قرآن ؟ ت را كل افلام ها شفشف ه و مخنث ه جت على ال مسكين ه ذى كل كم قمت وا علي ها ؟ 😂 . . ""
",P
"11111 😂😂😂😂😂😂
",N
"2 هاى شدتحس
",N
"٢ هذى شريط ه ت كون على ال فخذ مو شى ثاني
",N
"2 يا لي ت نا كن ا مع كم و ن تونس و نس ه 🔞 😉 عظيم ه . . اوف عذاب : (
",N
"2 ك يلو مكياج ف ين هى لى غنت
",N
"3 : 13 خلق ت من اجل . . . . . . . 👌
",N
"3 : 20 مهو يا غبي ه ان ت و طاقم ال تمثيل ال جاهل خير مثال ل ل عرب ال متخلف ين ال مقلد ين ل ل غرب و ال اتراك / اجهل عرب بس فى ال خليج تلاقي هم / يا متخلف ه لو جد بدكم ت نجح وا و تبرع وا ب شيء معين ما ب تروح وا ت عمل و ه و تمثل و ه ب بلاد ال اتراك . . ك تقليد و محاول ه وصول .
",P
"3 : 25 هو نانسى ل يش مو ل ابس ه شى ي رفع صدر ها مخلي ت ه مدندل o _ 0
",P
"3 : 55 مريم حسين ال عرب راح ي كون ون ال افضل👑 و ال اول🔝 و ال احسان👍 لان ال حين قولو ال انبياء و محمد صلى الله علي ه و سلم اجانب❔❔ افضل ام ه فى ال دنيا حنا و ال اجانب ال ا من رحم ربى فى ال جهنم و انتى اختارو ت كون و عرب و لا اجانب ي كفى ي كفى احنا ال اول و ال افضل و ال اجانب ما ي سون نعل 👞
",N
"3 : 55 مريم حسين ال عرب راح ي كون ون ال افضل👑 و ال اول🔝 و ال احسان👍 لان ال حين قولو ال انبياء و محمد صلى الله علي ه و سلم اجانب❔❔ افضل ام ه فى ال دنيا حنا و ال اجانب ال ا من رحم ربى فى ال جهنم و انتى اختارو ت كون و عرب و لا اجانب ي كفى ي كفى احنا ال اول و ال افضل و ال اجانب ما ي سون نعل 👞
",N
"٤ عاد ما ي بون ك لا ت صير ين ن شبه .
",N
"4 : 21 شيخ ه موز ه و ال ا شيخ ه ب طيخ ه ههههههه ه
",P
"4 : 40 طلع جوز ها اجحش من ها
",P
"5 ضرب ه ال قاضي ه 😂😂😂😂😂
",N
"5 : 31 اكسيوزمى ههههههههه ه و الله لو ال زم الى علمج انجليزى ال ه احط طلق ه ب راس ه
",N
"5 : 31 . اكسيوزمى . ههههه ه
",N
"5 : 57 ب تقول اي ه الست دى ههههههههههههههههههههههههههههههههه ه
",N
"6 ل شهر كس ه خاس ب ال سجن ههههههههههههههه ه
",P
"٦ مسكين ه احلام محد مخلي ها ب حال ها ي اخى فلوس ها وش دخل كم في ها .
",N
"6 : 48 احل ا من ه ! ! ! ت را انت ال ذكر مو هى : ) من زود ال وقاح ه رجع عاد ها 7 : 02
",P
"7 ال ضرب ه ال قاضي ه 😂
",N
"7 وجع وي نا في ه 🙁 كان ي قول ها من قبل ب ظربك ب ها ال مكان مو عبالى عارف ه ال حرك ه شات خشم ها شو ت ه كافى مسوي ه عملي ت ت جميل في ه 😂😂🌚💔
",N
"7 : 54 حتى ال كلم ه م ي عرف ي لفظه😂
",N
"8 ت طالب ب تعويض نفسى 😒 خفى علي نا
",N
"8 : 20 ود ه ي ضرب ها نيشان
",N
"٩ قصف ها قصف 😂😂👌🏻👌🏻
",N
"9 مصدك ب روح ك انت مر ه انقرضو ي اعالم ال عراق اشرف من هيج نماذج تافه ه احذف ها رجاء ا . . .
",N
"٩ = ت دور فزع ه من احلام   تبى تطيح ها ب مشكل ه
",N
"amoor 😂 جب ت ها
",N
"arab idol = 0 ب فضل احلام
",N
"Arab idol من دون ال فنان ه و ال ملك ه احلام ب ال موسم ال رابع رح ي كون مو حلو و حت كون ال لجن ه ناقص ه ب دون ها
",N
"MAHBOLA مجنون
",P
"MAZABTA . ال لغام ( احلام كوابيس ) ليس ت ماد ه دسم ه ل ل نقض بل هى ماد ه ب جب ان ت كون داخل ال قمام ه او ت فتح علي ها سيف ون ال حمام لان هذا هو مقام ها و وزن ها .
",P
"mbc انتو قنا ه معروف ه و محترم ه شنو هاى ال خايس ه احلام مخلينه ه ب ال قناه و الله خرب ت قنات كم
",P
"MOHA HANI احسن توصيف فعل ا ت شبه ال قذافى هذاك خبل و هذى خبل ه
",P
"New ي اnoاتكلم انجليزى زين و ل ال تتكلم ين
",N
"She will be proud of you هههههه ه وش ي قول ون ها ب ال عربى ، هههه ه ، اول شئ ليس ت ف نان ه و انما سميتمو ها ب اسم ليس ل ه محل فى ال اعراب ، ال فنان هو من ي حفظ مبادئ ه و اخلاق ه و اسلوب ه و طريق ه ت عامل ه ، و لكن هذى طقاق ه ثم مطرب ه ثم فنان ه ، انا لا اقصد ال شمات ه و لكن ال حق ي قال ، ارج وا من صاحب ال مقطع ب ال حذف لان ال ناس كثر ال كر ه فى قلوب هم من كلم ه كن تاكى و مع هذا ال فيديو سوف ت سبب جلط ات ل ل عالم من سخاف ه عقل ها و طريق ه اسلوب ها ، ن سال الله ان ي هدي ها و ي جعل ها حق ا تقراك تاب الله و ت كون متخرج ه من كلي ه ال شريع ه ف عف وا لن ي جتمع ال غناء مع ال قران ل ل اسف كاذب ه ✋🏻
",N
"this moment . . . ال سن ه هههههه ه
",N
"this moment ال سن ه 😂😂😂 اكسوزمى 😂😂😂😂
",N
"This moment هذه ال سنه😹😹😹
",N
"tواش دخل كلام ك ب ال فيديو . احلام مثال على كلام ك و لا ت ستخدم ها كا طعم ل اجتذاب ناس ل قن ا ت ك . اسلوب تلهي ت ناس فى سخاف ات شئ موجود فى عالم كل ه منذ قرون لا جديد فى ان ها ادا ه مفيد ه . ي ري ت ت كون صريح فى كلام ك و تاتى ب امثل ه . . . بدال ما تجى على حيط ه ال هبيطى .
",N
"U
",N
"Very stupide 👎👎👎👎👎👎وعن جد حقير ه اكر ها موووووت
",P
"WTF كل من هب و دب صنع كاظم ال ساهر 😂😂😂😂😂 كاظم ال ساهر صنع ه تعب ه على نفس ه
",N
"آخر كلم ه صدكينى مااحب كاظم بس احب ال عراق
",N
"آنتى فجر ه و الله
",P
"آه يا حقير ه يا احلام
",P
"آه يا مصري ات رجال لا ي وجد عند كم بلاد ال راقص ات و ال عاهر ات ترك وا ال سياس ه ل اصحاب ال مواقف يا خون ه
",P
"آهداء من ال شعب آل سعودى ل مريم حسين 🖕🏻
",N
"آولا سير ين عبد ال نور محترم ه غير باقى ال فنان ات و ثاني ا هذا مو كلس ون يا غبى ! هذا مثل رباط ابيض ي نلبس على ال فخد
",N
"آي ه ال ارف ده الله ، ي قرف هم قرف و نا
",P
"احلام يا جاهل ه و ي ن ك من راغب ههههههههههههههههههههههههههههههههههههههه ه
",P
"اااحب ك احلام صح نانسى جميل ه و لكن ها حاقد ه بس انتى مشكل ت ك عصبي ه
",N
"اااحب ك احلام صح نانسى جميل ه و لكن ها حاقد ه بس انتى مشكل ت ك عصبي ه
",N
"ابتسم ي اقيصر ف ان ك جال ط هم 😂
",N
"ابشع خادم ه فى ال خليج احلام
",P
"ابل ه ف اهيتا😂دى وجب ه
",N
"ابنائى ال اعزاء لم اعلم لما قال صباح ال امى عن كاظم ال ساهر هذا ال شيء و لكن اعلم ب ابن ال كويت صباح ال لامى و هو عراقى ال جنسي ه ولد ي ه بن ات خال ه كويتي ات هو من اهل ال كويت و لكن سافر ل لامار ات و ال بحر ين و قطر من بعد ال غزوا و لكن اعلم ان صباح ال امى لم ي قصد ب ال اساء ه ل توضيح راي ه ب نعم ه ام ن غم ت ين و هذا لا ي فسد ل لود قضي ه و اعتقد ان كاظم ال ساهر اكبر م ما ذكر ب راي ي و هذا ل ل علم ال نادي ا
",N
"اتمنى من ال جميع ابداء ال راى بادب من دون سب و قذف و شكرا 😘
",N
"اتنمى لو كان ال اعلام سخر ال موارد ال مالي ه فى انشاء ب رامج تثقيفي ه علمي ه و ليس ت ب رامج ل ل غناء ، ل كان ت ال فائد ه تعم ال عالم ال عربى ، و ل كان خير من هذا ال جنون هناك من ال بشر من ي موت لاجل لقم ه ال عيش ، ارج وا ان ت صل ال رسال ه ب ال علم ت تقدم ال امم و ال حضار ات و ليس ب ال غناء .
",N
"اتوقع مها محمد لان ه بين هم مشاكل
",N
"اجل مافى ال ساهر ان ه لا ي رد على هؤلاء ال حاقد ين وان نظر نا ال ي هم س ن رى ان كل شخص من هم ي نقص ه اشياء كثير ه اما ال قيصر ف هو فنان كامل جميل و صو ت ه قوى و حساس و شاعر و ملحن و مطرب و من ي زايد على فن ه ف هو غبى ب كل ما ت حمل ه كلم ه غبى من معنى . . . . . . . . . ت حي ه ل جمهور ال قيصر
",N
"اجمل شى خروف ال ا عند ها هههههههههههههه ه
",N
"احب لطيف ه
",N
"احب ك احلاااااام
",N
"احترم نفسګ و غير ال عنوان هذال بناني
",N
"احس ان ها ت تصنع ال عفوي ه
",N
"احس انو ميت ين من ال غير ه و الله كبار على هي ك كلام كاضم اخلاق و راقي ه ماي تدنى ل مستوا هم
",N
"احقر انسان ه شف ت ها فى حياتى ب صراح ه لا د ين و لا ادب و لا اخلاق و لا شكل استغفر الله ال عظيم بس
",P
"احقر و اغبى و ابشع و كل ال صف ات ال سلبي ه ي لى عرف ها ال بشر موجود ه ب ال نكر ه احلام . . . هى ال مخلوق ه لازم ت منع منع ا بات ا انو تغنى او ت طلع على شاش ه ال تلفزي ون و الله ما ب عرف شو قول عن ها بعد . . اذا بضل ب جزم في ها ل صبح ما ب خلص و ب تحكى عن شمس ل ك صرماي ت ها ل شمس ي لى ب تروح في ها على ال مرحاض انضف من هل شرموط ه احلام
",P
"احل ا شى ال ضرب ه ال قاضي ه مخخ ه
",N
"احلام متكبر ه و مغرور ه
",P
"احلام انتى كيف ما كنتى ب تضلك ملك ه 👑 مين راغب هاد هههههههههه ه جد انو مريض نفسى انتا يا راغب
",P
"احلام ت غار لا ت جاوب ونه ه
",N
"احلام شهر ت ها ليس ب سبب فن ها و لكن ب سبب خرووج ها عن ال نص و نشاط ها فى مواقع ال تواصل و استهبال ها زى ال خليل كوميدى فى مصر و غير ه اقصد ال شهر ه ال سلبي ه هذه ال مخلوق ه لدي ها مشكل ه نفس ي ه مع ال حيا ه او ما ي سمى شبع من بعد فقر هذه ال مخلوق ه هتك ت عرض ال فن و ال اخلاق و حتى ال زمال ه ال فني ه استغرب ان لدي ها جمهور و هذه ال مشكل ه اذا كان و ي شبوهن ها اخلاقيا ! ! ! ! ! ف ال مجتمع ال عربى ي عانى من مشاكل و ليس ت مشكل ه
",N
"احلام همجي ه و غير متزن ه و ليس ل ها شخصي ه مؤثر ه مع ال اسف
",P
""" احلام   معمر ال قذافى "" "" وجهان ل عمل ه واحد ه "" "" ""
",P
"احلام اشرف ف نان ه بين كل فنان ات ال عرب انا اقول ال حق وان ا ليس من معجب ي ها لكن ال حق ي قال و الله و الله فى خيان ات بين ال فنان ين و ال مشاهير و ال فساد ال اخلاقى بين كل ال مطرب ين و ال فنانين ال ا احلام انسان ه نظيف ه اخلاقي ا
",N
"احلام اغبى فنان ه فى ال تعامل مع ال بشر
",N
"احلام اكلى عير ياوصخ ه ختفؤؤؤؤؤؤؤؤؤؤؤؤؤؤؤؤؤؤؤؤؤ عيربيج وبل اسلام ال انتى بى دكومى عريض ه حافض ه ال قران و تقر ه ال قران و تغنى ال عريض ه بلع ت ال عير صخل ه
",P
"احلام ايام ماكان ت ذكرى حي ه و نجح ت فى ال خليج نجاح لم ت صل الي ه اى ف نان ه قبل ها و لا بعد ها احلام توقف ت توقف ت عن ال غناء سنوات و كان ت ت صرح احيان ا ان ها اعتزل ت و لولا فلوس زوج ها ما استمر ت لكن بعد موت ذكرى ظهر ت مجدد ا
",N
"احلام ات كير ه و تبقى كبير ه ت حي ه م اهل ال جزائر نحب ك كتير ا
",N
"احلام انتى دماغ ك تعبان ه رب نا ي هدي كي
",P
"احلام انسان ه تاف ها و وقيح ه
",P
"احلام اتنى مقرف ه و بايخ ه
",P
"احلام احترمى على ال اقل سنك انت مو صغير ه انا اشك انتى مريض ه ب حب نفسج ل صدك ين روحج حتى وان عملتى الف عمل ي ه انتى خطار فى ال دنيا اعملى ل اخر ت ك و لا ت نغرى ب عملي ات ال تجميل
",N
"احلام احلى شى ت روحلج ف دوى شذى حسون ام ال وصخ انى من ال عراق😗😗😗
",N
"احلام ال بقر ه ساع ه ت تكلم مصرى ساع ه خليجى ساع ه ل بنانى و ل له اتضحك انى شف ت ه على ال فيس رايح ه ل ل حج و طاك ه صور سلفى مع ال زلم وهم ه عايف ين مك ه ال مكرم ه و طاك ين و ياه ه ل ل جحشى بنار جهنم انشا الله نكس ه مك ه
",P
"احلام ال قذافي
",N
"احلام ال ملكه💕
",N
"احلام ال ناس تكره ها عشان ها صريح ه بس
",N
"احلام انا اذكر ها ت بيع فى سوق ال فحم . و بعد ين هى بين ال نساء نكر ه ي عنى رجل , , و زوج ها اتوقع ب يتحول قريب لان ه ي حمل صف ات ال رخام ه و ال ميوع ه و ال انحطاط🐞
",P
"احلام ان ت جميل ه وان ا و الله احب ك كثر ا
",N
"احلام ان ت شخصي ه طفولي ه و مغرور ه . . و ال سب هو ال امراء دول ال خليج الذين ت قابل ين هم و ترقص ين ل هم و تغنين ل هم و ان ت شخصي ه خفيف ه جد ا . . و صغر ت فى عيون ال عالم و ال ناس كل هم . و راغب ايضا كان عند ه مقابل ه بس ما حكا عنك ابدال ان اخلاق ه حميد ه و ليس من مستواكى . و نانسى عجرم شخصي ت ها و ثكل ها ي سوى راسك و كل فن ك و تاريخ ك صار اسود فى كتاب ال فنان ين و مسير ت ك على ال ثلج سوف ت مر . و لن ت صل الى نهاي ه ال طريق ب اسلوب ك هذا ال فاشل . و لا ت تباهى ب غنا ك و اموالك ال حرام . و ال ناس اصبح ت ت عرف ال ابض من ال اسود .
",P
"احلام انتى غيرى من راعب علمي
",N
"احلام انتى ملك ه ي اعمرى الله ي لعن كل واحد ب يسبك احلام و الله ان ك قلب ك طيب . و ال ناس ب تغار من ك💖💖💖💖💖💖💖💖💖💖💖💖
",N
"احلام انسان ه محترم ه
",N
"احلام بغت نفس ها ال كل ب ال كل مش اخلاقي ه ت بغى نفس ها مثابر ه فى ال نهاي ه نار جهنم ل ارحم ه و ال اخلاق وفى ال نهاي ه اي ضآعملي ات و الله ال عظيم منحط ه كره ت ها اسلوب هازف ت احلام انتى ال اخير ه
",P
